Snakenames,Note,Snake,Number,Common names,Family,Country,Region,Snake genus,"Venom, mg (snakedatabase.org)",SVMP (Snake venom MetalloProteinase),PI-SVMP (Snake venom MetalloProteinase),PII-SVMP,PIII-SVMP (Snake venom MetalloProteinase),SVMPi (Snake venom metalloproteinase inhibitor),Disintegrin,Short disintegrin,Mediumdisintegrin,Largedisintegrin,Long disintegrin,Dimeric disintegrin,CTL (C-typelectin),DC-fragment (disintegrin-like/cysteine-ichdomains of PIII-SVMP),CRISP (cysteine-rich secretory protein),3Ftx (three-finger toxin),?-NTx (?-NeuroToxin),NTx (NeuroToxin),SNTx (Short chain NeuroToxin),LNTx (Long chain NeuroToxin),WNTx (Weak Neurotoxin),PLB (Phospholipase B),PLA2 (Phospholipases A2),Acidic PLA2 (Phospholipases A2),Basic PLA2 (Phospholipases A2),K49-PLA2,D49-PLA2,Cro-toxin,SP (Serine roteinase),SPi (Serine Proteinase inhibitor),KuTi (Kunitz-type nhibitor),KaTi (Kazal-type inhibitor),KLK (Kallikrein),LAAO (L-Amino Acid oxidase),VAP (VasoActive Peptides),BPP (Bradykinin-Potentiating Peptides),BIP (Bradykinin-Inhibitory Peptide),VEGF (Vascular Endothelial Growth Factor),CVF (Cobra Venom Factor),NP (Natriuretic Peptide),Muscarinic-toxin,Cyto-toxin,Myo-toxin,Mojave-toxin,Sarafo-toxin,Trimucro-toxin,Waprin,Navaprin,Ohanin,Oscutarin C,Cystatin,Crotamine (aka: ?-defensin/small basic myotoxic peptides),Vespryn,HYA (HYAluronidase),KTC (proKineTiCin),NGF (Nerve Growth Factor),ILGF-1 (insulin-like growth factor),PDE (PhosphoDiEsterases),ACHE (AcetylCHolineEsterase),NT5 (5NucleoTidase),EP (EndoPeptidase),EN (EndoNuclease),Trypsinogen,QC (Glutaminyl Cyclase),CCM (Complement Control Module),LIPA (Lysosomal Lipase A),TRF (TRansFerrin),CTT (Cytidyltransferase),ALB (ALBumins),HBG (HemoGloBins),pG peptides (polyGly peptides),pGpH peptides (Gly-His-rich peptide),beta-BTx (beta-bungarotoxin),Gal (galactose-binding lectin),Selectins,FMO (flavin monoamine oxidases),GP (glutathione peroxidase),CELF (Type-B carboxylesterases/lipases),Atragin,AMT (AminoTransferase),Aspartic protease,TBP (Toxin biosynthesis proteins),BP (Blood Proteins),KNL (Kinesin-like protein),NTP (Neurotrophin),Fibrinogenases,AP (AminoPeptidase),ChE (Cholinesterase),OLP (Ohanin like proteins),CRVP (Cysteine Rich Venom Proteine),NMG (Neuronal membrane glycoprotein),RIB (ribosomal protein),ECTONT (ecto-59-nucleotidase),Actin,Unknownpeptides,Non-toxin,Unknown/Undetermined,Sum
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/28688916"" target=""_blank"" style=""font-style: italic"">Laticauda colubrina<span> (Indonesia)",Indonesia,Laticauda colubrina,1,"Yellow-lipped Sea Krait , Wide-lipped Sea Krait , Colubrine Sea Krait , Wide-faced Sea Krait , Colubrine Amphibious Sea Snake , Yellow-lipped Sea Snake , Wide-lipped Sea Snake , Colubrine Sea Snake , Wide-faced Sea Snake , Common Banded Sea Snake , Banded Sea Snake , Banded Yellow-lip Sea Snake",Elapidae,"Australia, Bangladesh, Brunei, Cambodia, China, Fiji, Indonesia, India, Japan, Malaysia, Myanmar, Papua New Guinea, Philippines, Samoa, Singapore, Solomon Islands, Sri Lanka, Thailand, Tonga, Vietnam, New Caledonia",Seasnakes,Laticauda,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,16.94,48.87,0.00,0.00,33.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/16206329"" target=""_blank"" style=""font-style: italic"">Macrovipera lebetina<span> (Tunisia)",Tunisia,Macrovipera lebetina,1,"Levantine Viper , West Asian Blunt-nosed Viper , Gorzeh Snake , Transcaucasian Blunt-nosed Viper , Levantine Blunt-nosed Viper",Viperidae,,West Asia + Middle East,Macrovipera,150.00,66.34,0.00,0.00,0.00,0.00,0.00,0.99,0.00,0.00,0.00,5.94,9.90,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.96,0.00,0.00,0.00,0.00,0.00,8.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.98,0.00,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/22387317"" style=""font-style: italic"">Macrovipera lebetina<span> (Tunisia)",Tunisia,Macrovipera lebetina,2,"Levantine Viper , Blunt-nosed Viper",Viperidae,Cyprus,Western Europe,Macrovipera,150.00,63.10,0.00,0.00,0.00,0.00,15.10,0.00,0.00,0.00,0.00,0.00,3.20,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,5.50,0.00,3.10,0.00,0.00,0.00,0.00,0.00,0.00,3.30,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/18590992"" target=""_blank"" style=""font-style: italic"">Macrovipera lebetina obtusa<span> (Armenia)",Armenia,Macrovipera lebetina obtusa,1,"Levantine Viper , Blunt-nosed Viper",Viperidae,"Afghanistan, Armenia, Azerbaijan, Georgia, Iran, Iraq, Israel, Jordan, Lebanon, Pakistan, Syria, Turkey",North Africa,Macrovipera,150.00,0.00,27.36,0.00,4.23,0.00,0.00,2.76,0.00,0.00,0.00,8.37,14.57,1.67,2.56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.37,0.00,0.00,0.00,0.00,0.00,14.67,0.00,0.00,0.00,0.00,1.67,0.00,2.61,2.56,0.00,0.00,2.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.01
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/18590992"" target=""_blank"" style=""font-style: italic"">Macrovipera lebetina transmediterranea<span> (Armenia)",Armenia,Macrovipera lebetina transmediterranea,1,,Viperidae,"Algeria, Tunisia",,Macrovipera,150.00,0.00,0.00,0.00,66.34,0.00,0.00,0.99,0.00,0.00,0.00,5.94,9.90,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.96,0.00,0.00,0.00,0.00,0.00,8.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.98,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.01
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/22387317"" target=""_blank"" style=""font-style: italic"">Macrovipera mauritanica<span> (Morocco)",Morocco,Macrovipera mauritanica,1,"Sahara Rock Viper , Moorish Viper , Atlas Mountain Viper",Viperidae,"Algeria, Morocco, Tunisia",North Africa,Macrovipera,0.00,0.00,7.10,0.00,38.30,0.00,0.00,7.80,0.00,0.00,0.00,6.00,8.10,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.50,0.00,0.00,0.00,0.00,0.00,8.30,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,10.80,0.00,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/25109465"" target=""_blank"" style=""font-style: italic"">Micropechis ikaheka<span> (New Guinea)",New Guinea,Micropechis ikaheka,1,"Small-eyed Snake , Ikaheka Snake",Elapidae,"Indonesia, Papua New Guinea",New Guinea,Micropechis,0.00,0.00,0.00,0.00,7.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,1.80,9.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.84,0.00,0.10,0.00,0.70,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.01
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/26325292"" style=""font-style: italic"">Micrurus alleni<span> (Costa Rica)",Costa Rica,Micrurus alleni,1,"Allen's Coral Snake , Costa Rican Coral Snake , Arrow-headed Coral Snake",Elapidae,"Costa Rica, Honduras, Nicaragua, Panama",Central America,Micrurus,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,0.00,0.00,77.30,0.00,0.00,0.00,0.00,0.00,0.00,10.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.80,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,3.90,0.00,0.60,100
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/21515432"" target=""_blank"" style=""font-style: italic"">Micrurus altirostris<span> (Brazil)",Brazil,Micrurus altirostris,1,"Southern Coral Snake, Short-tailed Coral Snake , Uruguayan Coral Snake , Many-banded Coral Snake , Many-banded Coral Snake",Elapidae,"Argentina, Brazil, Uruguay",South America,Micrurus,0.00,0.00,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,79.50,0.00,0.00,0.00,0.00,0.00,0.00,13.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.10,0.00,0.00,1.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/27164141"" style=""font-style: italic"">Micrurus clarki<span> (Costa Rica)",Costa Rica,Micrurus clarki,1,Clark's Coral Snake,Elapidae,"Colombia, Costa Rica, Panama",Central America + South AmericaCountries,Micrurus,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,48.20,0.00,0.00,0.00,0.00,0.00,0.20,36.50,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.90,0.00,0.00,3.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,0.00,4.10,100
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/21515432"" target=""_blank"" style=""font-style: italic"">Micrurus corallinus<span> (Brazil)",Brazil,Micrurus corallinus,1,Painted Coral Snake,Elapidae,"Argentina, Brazil, Paraguay, Uruguay",South America,Micrurus,0.00,0.00,0.00,0.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.00,0.00,81.70,0.00,0.00,0.00,0.00,0.00,0.00,11.90,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,0.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/26883873"" style=""font-style: italic"">Micrurus dumerilii<span> (Colombia)",Colombia,Micrurus dumerilii,1,"Dumeril's Coral Snake , Capuchin Coral Snake",Elapidae,"Colombia, Ecuador, Panama, Venezuela",Central America + South America,Micrurus,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,28.10,0.00,0.00,0.00,0.00,0.00,0.10,52.00,0.00,0.00,0.00,0.00,0.00,1.90,0.00,9.00,0.00,0.00,3.10,0.00,0.00,0.00,0.00,0.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.10,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/23915248"" style=""font-style: italic"">Micrurus fulvius*<span> (Florida)",Florida,Micrurus fulvius*,1,"North American Coral Snake , Harlequin Coral Snake , Eastern Coral Snake",Elapidae,United States of America,North America,Micrurus,5.00,2.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.10,0.00,0.00,0.00,0.00,0.00,0.00,64.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.90,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/21963438"" target=""_blank"" style=""font-style: italic"">Micrurus mipartitus<span> (Costa Rica)",Costa Rica,Micrurus mipartitus,1,"Red-tailed Coral Snake , Black-ringed Coral Snake",Elapidae,"Colombia, Ecuador, Panama, Peru, Venezuela",Central America + South America,Micrurus,0.00,3.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,82.83,0.00,0.00,0.00,0.00,0.00,0.00,8.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,0.00,0.00,3.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.99
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/21963438"" target=""_blank"" style=""font-style: italic"">Micrurus mipartitus<span> (Columbia)",Columbia,Micrurus mipartitus,2,"Red-tailed Coral Snake , Black-ringed Coral Snake",Elapidae,"Colombia, Ecuador, Panama, Peru, Venezuela",Central America + South America,Micrurus,0.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,61.10,0.00,0.00,0.00,0.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,1.90,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/26325292"" style=""font-style: italic"">Micrurus mosquitensis<span> (Costa Rica)",Costa Rica,Micrurus mosquitensis,1,Misquito Coral Snake,Elapidae,"Belize, Colombia, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama",Central America + South America,Micrurus,0.00,2.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.30,0.00,0.00,22.50,0.00,0.00,0.00,0.00,0.00,0.00,55.60,0.00,0.00,0.00,0.00,0.00,0.50,0.00,9.80,0.00,0.00,2.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.20,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,1.30,0.00,1.80,100
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/21280576"" target=""_blank"" style=""font-style: italic"">Micrurus nigrocinctus<span> (Costa Rica)",Costa Rica,Micrurus nigrocinctus,1,"Central American Coral Snake , Black-banded Coral Snake",Elapidae,"Belize, Colombia, Costa Rica, El Salvador, Guatemala, Honduras, Mexico, Nicaragua, Panama",Central America + South America,Micrurus,8.00,4.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.20,0.00,0.00,38.00,0.00,0.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/27338473"" style=""font-style: italic"">Micrurus tschudii<span> (Peru)",Peru,Micrurus tschudii,1,Desert Coral Snake,Elapidae,Peru,South America,Micrurus,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.70,0.00,0.00,0.00,0.00,0.00,0.00,4.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.57,0.00,0.00,0.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/26924299"" style=""font-style: italic"">Naja atra<span> (China)",China,Naja atra,1,"Chinese Cobra , Taiwan Cobra , Formosan Cobra",Elapidae,"China, Hong Kong, Laos, Taiwan, Vietnam",Southeast Asia + North Asia,Naja,200.00,1.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,84.30,0.00,0.00,0.00,0.00,0.00,0.00,12.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.42E-14,100.00
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/26196238"" style=""font-style: italic"">Naja atra<span> (Taiwan)",Taiwan,Naja atra,2,"Chinese Cobra , Taiwan Cobra , Formosan Cobra",Elapidae,"China, Hong Kong, Laos, Taiwan, Vietnam",Southeast Asia + North Asia,Naja,200.00,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.16,0.00,0.00,20.54,0.00,0.00,0.00,0.00,13.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.25,0.00,0.00,59.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.08,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100
"<span target=""_blank"" href=""https://www.ncbi.nlm.nih.gov/pubmed/24269350"" style=""font-style: italic"">Naja haje legionis<span> (Marocco)",Marocco,Naja haje legionis,1,"Egyptian Cobra , Brown Cobra",Elapidae,"Algeria, Benin, Burkina Faso, Cameroon, Chad, Democratic Republic of Congo, Cote d'Ivoire ( Ivory Coast ), Djibouti, Egypt, Eritrea, Ethiopia, Gambia, Ghana, Kenya, Libya, Mali, Morocco, Niger, Nigeria, Senegal, Sudan, Tanzania, Togo, Tunisia, Uganda, Mauritania, West Sahara, Somalia",North Africa + Sub-Saharan Africa,Naja,300.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.90,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,100.00
" <span href=""https://www.ncbi.nlm.nih.gov/pubmed/25748141"" target=""_blank"" style=""font-style: italic"">Naja kaouthia<span> (Thailand)",Thailand,Naja kaouthia,1,"Monocellate Cobra , Thailand Cobra , Monacled Cobra , Bengal Cobra , Monocled Cobra",Elapidae,"Bangladesh, Bhutan, Cambodia, China, India, Laos, Malaysia, Myanmar, Nepal, Thailand, Vietnam",Indian Sub-continent + North Asia + Southeast Asia,Naja,742.00,1.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.00,0.00,9.16,0.00,19.22,0.00,17.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.70,0.00,2.99,44.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.00,1.29,0.00,0.40,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,100.00
